P,D,I,C
12.28,5.20,11.06,6.95
12.42,5.85,11.11,6.87
9.45,2.11,10.74,8.05
8.87,4.27,11.41,5.66
13.47,6.43,11.56,8.37
13.12,5.96,11.10,8.58
12.35,5.97,11.25,6.54
12.69,5,11.16,7.53
13.23,5.42,11.31,8.01
12.85,3.48,11.08,7.26
12.81,3.98,11.38,7.77
13.62,5.93,11.15,8.30
12.84,6.04,11.22,7.01
12.60,5.13,11.02,7.12
12.34,4.82,11.23,7.53
13.49,6.86,11.33,10.29
12.98,5.75,12.05,7.43
12.67,4.90,11.03,7.52
12.96,6.19,10.96,7.37
12.70,4.95,11.02,7.28
13.68,6.56,11.21,8.28
12.91,5.23,11.27,7.15
12.33,5.37,10.90,6.69
12.97,5.34,11.18,7.05
15.33,5.22,11.30,9.85
12.89,4.52,10.92,7.43
10.52,3.24,10.99,8.42
12.76,2.86,11.17,6.93
10.96,4.73,10.79,5.26
12.05,4.02,11.23,6.75
12.49,4.58,11,7.65
13.95,6.71,11.28,8.25
12.58,4.03,11.08,6.95
12.85,6.50,11.44,7.42
11.97,2.89,11.13,6.78
14.80,6.31,11.07,8.82
14.30,6.65,11.71,8.79
13.67,6.98,11.56,8.03
12.06,4.29,11.41,7
13.73,7.31,10.99,8.66
12.23,4.55,11.20,6.93
12.93,4.87,10.92,8.30
13.38,6.27,11.68,7.52
11.85,4.92,11.01,6.14
13.53,6.10,11.18,7.92
12.98,3.94,11.42,7.43
12.33,4.72,10.95,6.69
13.87,6.72,11.74,8.31
13.19,6.11,11.03,7.68
13.67,6.53,11.58,7.94
9.42,0.84,11.08,7.15
13.59,6.59,11.33,8.14
12.22,5.91,10.91,6.86
12.22,5.91,10.91,6.64
12.08,4.90,11.02,6.54
11.81,4.27,11.57,8.32
14.14,7.55,11.83,7.69
12.37,6.12,11.12,6.42
13.26,6.25,11.35,7.84
12.12,6.95,11.06,6.19
13.49,6.56,11.70,8.07
12.36,7.45,11.02,6.27
12.67,5.79,11.32,8.09
12.77,5.09,11.07,7.01
14.06,6.34,11.44,8.67
13.39,5.97,11.32,7.61
13.60,6.07,11.04,8.13
12.01,4.57,11.41,6.79
13.06,5.47,11.18,7.63
14.96,7.35,11.60,8.93
14.19,6.42,11.19,8.76
12.82,6.77,10.84,6.61
12.17,4.75,11.27,7.22
14.23,5.68,11.24,8.64
13.15,6.99,11.34,7.66
12.09,4.73,11.06,7.96
14.26,8.44,10.96,8.52
11.80,4.63,10.96,6
13.74,5.36,11.42,7.95
13.87,3.78,11.07,8.38
13.78,7.21,11.10,8.04
12.06,4.61,10.91,6.44
12.94,4.71,11.60,7.61
13.12,5.81,11.28,7.80
11.48,7.03,10.95,5.93
11.65,3.92,10.78,7.69
13.76,6.65,11.49,8.04
13.10,6.32,11.72,7.36
13.40,6.43,11.19,8.06
12.04,3.30,10.99,8.15
12.90,5.31,10.97,7.41
14.64,9.05,11.32,8.18
12.19,5.44,11.19,5.70
13.19,7.24,11.27,7.70
11.89,4.09,11.26,6.45
12.95,5.36,11,7.67
13.10,8.11,11.47,6.39
9.12,2.89,11.05,7.31
14.72,4.86,11.34,9.18
11.49,6.81,10.85,5.47
11.86,4.87,11.07,7.23
12.01,4.48,11.17,6.99
12.74,6.62,11.57,7.32
12.80,5.36,11.27,7.03
14.28,6.45,11.34,8.38
12.15,4.52,10.94,6.82
10.70,3.80,10.93,5.07
12.93,5.63,11.51,8.19
12.51,5.44,11.03,6.39
13.81,6.64,11.27,8.47
12.79,5.40,11.10,7.12
13.99,6.42,11.41,8.48
14.60,3.74,11.26,9.33
15,5.71,11.48,9.20
13.60,8.88,11.83,6.81
13.59,5.38,11.32,8.09
13.50,6.49,11.92,7.46
11.16,3.65,11.06,6.70
13,4.15,11.43,7.64
14.45,6.36,11.94,7.14
14.45,6.36,11.94,8.56
10.79,2.70,10.86,6.74
13.04,5.71,11.25,7.29
11.98,5.70,11.23,6.34
12.07,4.99,11.20,7.18
11.77,4.53,10.90,5.78
13.17,5.31,11.09,7.78
13.08,6.38,11.28,7.31
12.09,4.84,11.06,6.81
13.73,6.16,11,8.53
13.64,5.03,11.55,7.57
13.09,4.79,11.51,7.30
13.22,4.77,11.16,7.64
13.22,4.96,11.22,7.59
12.83,5.53,11.05,7.32
13.55,8.57,11.38,7.87
14.24,6.47,11.72,8.45
13.19,6.23,11.13,7.62
11.88,4.50,11.16,5.63
11.50,4.16,11.19,6.71
14.58,6.85,11.28,9
11.89,4.10,11.03,6.31
11.56,3.54,11.05,5.71
12.61,5.06,11.40,8.01
12.15,4.97,10.93,6.64
14.10,6.22,11.44,8.43
6.63,-1.17,11.16,4.30
13.08,3.63,11.07,7.45
13.43,6.12,11.09,8.08
12.37,4.20,11.03,6.74
13.25,7.68,11.46,7.86
13.46,4.84,11.42,8.05
12.10,5.70,10.98,6.90
13.63,5.18,11.53,7.91
13.03,6.59,11.38,6.98
13.27,5.27,11.05,8
13.97,6.26,11.48,8.17
11.95,4.87,11.20,6.62
13.30,5.77,11.51,7.72
13.12,3.39,11.31,7.82
12.81,5.32,11.34,7.47
14.38,7.03,10.95,9.08
8.47,0.75,10.97,6.70
12.50,5.17,11.32,7.05
12.77,3.46,11.40,7.96
13.81,6.80,11.65,8.07
12.35,3.73,11.26,6.92
11.78,4.38,10.98,6.42
13.46,5.77,11.55,9.10
13.42,5.35,11.54,7.43
12.55,5.37,11.03,7.38
12.05,5.03,11.16,6.48
11.57,3.85,11.13,6.31
13.67,5.40,11.39,8.35
12.02,6.07,10.96,7.13
12.46,3.14,11.08,6.93
12.04,3.19,11.19,6.91
12.31,4.41,11.35,6.96
13.04,5.27,11.28,8.15
12.25,2.66,10.94,6.51
